ID	Enity Type	Label	Commercial Partner	Origin Organization	Implant Type	CE Mark Year	End of Product Year	FDA Approval Year	First Patient Year	Clinical Trial	Electrode Number	Electrode Diameter	Electrode Layout	Electrode Pitch	Implant Location	Implant Processor Location	Contributor	Created		Description
neio:0000110	bionic vision device	Boston Retinal Implant	Bionic Eye Technologies		electronic										subretinal		https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		"The Boston Retinal Implant Project has developed a subretinal, hermetically-enclosed, chronically-implantable vision prosthesis to restore some useful vision to people with degenerative retinal diseases, especially retinitis pigmentosa and age-related macular degeneration. The prosthesis offers advantages over the competing epiretinal devices by providing a lower risk of eye infection, reduced erosion through the delicate tissues that cover the front of the eye (i.e. the conjunctiva), and the ability to place stimulating electrodes closer to retinal nerve cells. "
neio:0000111	bionic vision device	Brindley Cortical Implant		University of London	electronic						78				cortical		https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		
neio:0000112	bionic vision device	BS01	"Bionic Sight, LLC"	Cornell University	optogenetic				2020	NCT04278131					epiretinal	external	https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		BS01 is an optogenetic prosthesis.
neio:0000113	bionic vision device	C-Sight		Shanghai Jiao Tong University	electronic						13		hexagonal		optic nerve	internal (in blind eye lens)	https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		The C-Sight group proposed an implantable visual prosthesis based on optic nerve stimulation with an electrode array. (Chai et al. 2013)
neio:0000114	bionic vision device	CORTIVIS	Biomedical Technologies		electronic				2016	NCT02983370	100	25	10x10		cortical	internal	https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		CORTIVIS is a cortical visual neuroprosthesis that is based on the Utah Electrode Array. It will be used to improve the quality of life of profoundly blind people.
neio:0000115	bionic vision device	Diamond Eye Implant	iBionics		electronic						256				epiretinal	external	https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		"iBionics has developed the Diamond Eye implant with a high density of hermatically-enclosed electrodes, allowing for higher spatial resolution. "
neio:0000116	bionic vision device	Dobelle Eye		Dobelle Institute	electronic										cortical		https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		
neio:0000117	bionic vision device	Electronic Visual Cortical Stimulator	Cortivision	Polytechnique Montréal	electronic										cortical		https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		"The Cortivision team from Polystim neurotechnologies developed a visual cortical stimulator which consists of image sensing, image processing, and brain cortex stimulation to help blind patients acquire a sense of visual perception (Ghannoum 2010). They hope to elaborate a model of the layer 4 of the visual cortex V1 using a large-scale network of biologically realistic neurons."
neio:0000118	bionic vision device	ELVIS	Sensor-Tech		electronic						100				cortical	external	https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		"ELVIS, or 'Electronic Vision,' is a cortical implant that utilizes small currents to stimulate the visual cortex to produce vision. A microcomputer attached to the belt processes the outdoor scene and uses an AI algoirthm to help simplify objects for the user. Sensor Tech expects human trials to begin in 2023 and implants to be made available to the public in 2027."
neio:0000119	bionic vision device	EPIRET1	Epi-Ret GmBH		electronic								hexagonal		epiretinal		https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		
neio:0000120	bionic vision device	EPIRET2	Epi-Ret GmBH		electronic								hexagonal		epiretinal	in glasses	https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		
neio:0000121	bionic vision device	EPIRET3	Epi-Ret GmBH		electronic						25	100	hexagonal	500	epiretinal		https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		"The EPIRET3 implant is a remotely controlled, fully intraocular wireless device consisting of a receiver and a stimulator module. The stimulator is placed on the retinal surface. Data and energy are transmitted via an inductive link from outside the eye to the implant. Surgery included removal of the lens, vitrectomy, and implantation of the EPIRET3 device through a corneal incision."
neio:0000122	bionic vision device	Gennaris	Grey Innovations	Monash University	electronic						473		hexagonal		cortical	external	https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		"Gennaris is a cortical visual prosthesis. It has been designed to bypass damage to the eye and optic nerve, to restore functional vision to people who have lost their sight through traumatic injury and conditions such as glaucoma and acquired retinal disease. Gennaris is currently preparing to undergo human clinical trials in Australia."
neio:0000123	bionic vision device	HARP High-Acuity Retinal Prosthesis	Iridium Medical Technology Co. Ltd.		electronic										subretinal		https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		"HARP is a proprietary contact lens-shaped, 4000 pixel retinal prostheses currently in development by Iridium Medical Technologies. HARP is made for patients with Retinitis Pigmentosa and Age-Related Macular Degeneration."
neio:0000124	bionic vision device	IMI Retinal Implant System	IMI Intelligent Medical Implants GmbH		electronic						49				epiretinal		https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		
neio:0000125	bionic vision device	IMIE 256 Channel Intelligent Micro Implant Eye	"IntelliMicro Medical Co., Ltd."		electronic				2020		256	210			epiretinal	external	https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		The 256 Channel Intelligent Micro Eye Implant is an epiretinal implant developed by IntelliMicro Micro Co and Golden Eye Bionic. The implant features advanced technology for a micro implant with an extended electrode array.
neio:0000126	bionic vision device	Intracortical Visual Prosthesis	MicroProbes for Life Science	Illinois Institute of Technology	electronic					NCT04634383	16				cortical	external	https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		The Intracortical Visual Prosthesis is currently being developed at the Illinois Institute of Technology and is being prepared for clinical testing.
neio:0000127	bionic vision device	IRIS I	Pixium Vision		electronic					NCT01864486	49	250		120	epiretinal	external	https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		"Pixium's first device, IRIS1 (Intelligent Retinal Implantable System), used an epi-retinal implant (on the retinal surface) and made it to clinical trials with the goal of obtaining CE Mark."
neio:0000128	bionic vision device	IRIS II	Pixium Vision		electronic	2016				NCT02670980	150				epiretinal	external	https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		"The IRIS II is a second generation epiretinal implant developed by Pixium vision to deliver light and shape perception, and to localize objects giving the patient the ability to negotiate unfamiliar environments. It consists of a 150 electrode array which allows for a better perceieved visual resolution by the user. The IRIS implant also uses asynchronous time-based image sensor technology resulting in faster, real-time image processing. "
neio:0000129	bionic vision device	Leuven Optic Nerve Visual Prosthesis			electronic				1998		1				optic nerve	external	https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		The optic nerve visual prosthesis (ONVP) uses a self-sizing spiral cuff electrode to electrically stimulate the optic nerve and thus create the perception of phosphenes. 
neio:0000130	bionic vision device	Link N1	Neuralink		electronic			2023	2024		1024				cortical		https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		"The N1 implant consists of 1024 electrodes distributed across 64 threads, composed mostly of polyimide with a thin gold or platinum conductor, which are inserted into the brain through an automated process performed by a surgical robot (R1). Each thread consists of an area of wires that contains electrodes capable of locating electrical signals in the brain, and a sensory area where the wire interacts with an electronic system that allows amplification and acquisition of the brain signal.

Neuralink received FDA approval for human clinical trials with the N1 in May 2023. On January 29, 2024, [Musk said](https://twitter.com/elonmusk/status/1752098683024220632) that Neuralink had successfully implanted a Neuralink device in a human on the day prior, and that the patient was recovering:""Initial results show promising neuron spike detection""."
neio:0000131	bionic vision device	Newcastle Visual Prosthesis			optogenetic										cortical	external	https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		"The Optogenetic Retinal Prostheses uses an optoelectronic headset to capture the visual scene, have an LED array display the image onto photosensitized retinal cells and stimulate them with light. A key advantage of this approach is that it is possible to target ON and OFF bipolar cells."
neio:0000132	bionic vision device	NR600	Nano Retina		electronic					NCT04295304			26x26		subretinal	in glasses	https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		"The miniature Nano Retina device, the NR600 Implant, replaces the functionality of the damaged photoreceptor cells and creates the electrical stimulation required to activate the remaining healthy retinal cells. NR600 consists of two components; a miniature implantable chip and a set of eyeglasses worn by the patient."
neio:0000133	bionic vision device	OpticSELINE			electronic										optic nerve		https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		OpticSELENE is a device with intraneural electrodes that stimulates the optic nerve with light sensation to promote activation of the visual cortex-in to try to restore the sight of the blind. 
neio:0000134	bionic vision device	Optoelectronic Nanowire Retinal Prosthesis	Nanovision Biosciences		optogenetic										subretinal		https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		
neio:0000135	bionic vision device	OPTOEPIRET	Epi-Ret GmBH		electronic		2017								epiretinal		https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		OPTOEPIRET extends the EPIRET implant with an integrated epiretinal recording of the image produced by the eye lens onto the retina.
neio:0000136	bionic vision device	Orion Cortical Visual Prosthesis System	Vivani Medical		electronic					NCT03344848					cortical		https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		"The Orion Visual Cortical Prosthesis System is an implanted cortical stimulation device intended to provide useful artificial vision to individuals who are blind due to a wide range of causes, including glaucoma, diabetic retinopathy, optic nerve injury or disease, and eye injury. (Eyewire, 2019)."
neio:0000137	bionic vision device	OUReP	"Minori Industry Co., Ltd."		electronic										subretinal		https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		Okayama University-type retinal prosthesis (OUReP) is a photoelectric dye-coupled polyethylene film which generates electric potential in response to light and stimulates nearby neurons.
neio:0000138	bionic vision device	Phoenix 99	Bionic Vision Technologies		electronic						98				suprachoroidal		https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		The new Phoenix99 bionic eye being developed by engineers at the University of Sydney uses a camera linked to a retinal implant to help people with a debilitating problem with their vision to see again.
neio:0000139	bionic vision device	POLYRETINA			electronic						"10,498"	80	hexagonal	120	epiretinal		https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		"POLYRETINA is a foldable, wide-field, epiretinal prosthesis that can wirelessly stimulate retinal ganglion cells. The current prototype, POLYRETINA β, features 10,498 Titanium-Nitride electrodes (80μm diameter, 120μm pitch) distributed in a tiled fashion over a 13mm-diameter active area. Future prototypes are planned to miniaturize the electrode design and increase the number of electrodes (POLYRETINA γ: 18,693 electrodes, 60μm diameter, 90μm pitch; POLYRETINA δ: 42,235 electrodes, 60μm diameter, 90μm pitch). So far, device safety and efficacy has been assessed <emph>ex vivo</emph> and <emph>in vitro</emph>."
neio:0000140	bionic vision device	PolySTIM	Cortivision		electronic										cortical		https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		PolySTIM is an implantable wireless intracortical interface designed to aid the visually impaired. It uses a multi-chip intracortical microstimulation system for wireless data and power transmission. 
neio:0000141	bionic vision device	PRIMA	Pixium Vision		electronic			2023		"NCT03333954,NCT03392324"	378				subretinal		https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		"The Prima System is intended to partially replace the normal physiological function of the eyes photoreceptor cells by electrically stimulating the nerve cells of the inner retina, which then transmit the visual information to the brain via the optic nerve."
neio:0000142	bionic vision device	QuantumRetina			electronic										epiretinal		https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		
neio:0000143	bionic vision device	Science Eye	Science		optogenetic										epiretinal		https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		"The Science Eye is a visual prosthesis targeted at retinitis pigmentosa (RP) and dry age-related macular degeneration (AMD), two forms of serious blindness presently without good options for patients. The Science Eye is a combination device that uses an optogenetic gene therapy targeted at the cells of the optic nerve (the retinal ganglion cells) in conjunction with an implanted flexible thin-film, ultradense microLED display panel inserted directly over the retina. "
neio:0000144	bionic vision device	Seoul Artificial Retina			electronic						16		4x4	100	suprachoroidal	external	https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		"Seoul Artificial Retina Project started since the year 2000 at National University Seoul in Korea, aiming to develop a safe retinal prothesis implant for sight restoration. "
neio:0000145	bionic vision device	SiBionics Prosthesis	SiBionics		electronic						80				epiretinal		https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		"The SIBionics prostheses features 60 electrodes, high system complexity, and an integrated circuit. "
neio:0000146	bionic vision device	Stanford Artificial Retina Project			electronic										epiretinal	in glasses	https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		"The goal of the Stanford Artificial Retina Project is to develop an advanced artificial retina that will reproduce the precise retinal code at a cellular resolution with cell-type specificity, resulting in high-fidelity artificial vision."
neio:0000147	bionic vision device	STS Retinal Prosthesis	"Nidek Co., Ltd."		electronic				2009		49	500	7x7	700	suprachoroidal	in glasses	https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		"The semichronic suprachoroid transscleral (STS) prosthesis is developed by Fujikado et al. in Japan. In 2011 and 2016, this retinal prosthesis was reported to be able to elicit phosphenes in all five patients with advanced RP without major complications. "
neio:0000148	bionic vision device	Suprachoroidal Prosthesis (24-channel)	Bionic Vision Technologies		electronic										suprachoroidal		https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		The BVT Bionic Eye System is a suprachoroidal implant manufactured by Bionic Vision Technologies. The Gen1 Bionic Eye System was previously known as BVA 24 and was manufactured by the Bionic Vision Australia consortium in 2012. The commercialization rights and research rights of BVA were then taken over by Bionic Vision Technologies (BVT) in 2017. The Gen1 Bionic Eye System used a non-implantable percutaneous connector whereas the Gen2 Bionic Eye System is fully implantable. BVT is now developing the Gen3 Bionic Eye System.
neio:0000149	bionic vision device	Suprachoroidal Prosthesis (44-channel)	Bionic Vision Technologies		electronic				2018	NCT03406416	44				suprachoroidal		https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		"The 44 Channel Suprachoroidal Retinal Prosthesis is a second generation device boasting a higher electrode array and larger field of view than the first generation device launched by Bionic Vision Technologies. Since launching a 4-patient clinical trial in 2018, the results have indicated that the device offers functional benefits to patients while providing a safe and reproducible surgical procedure."
neio:0000150	bionic vision device	Thalamic Visual Prosthesis	Bionic Eye Technologies	Massachusetts General Hospital	electronic										thalamic	external	https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		The goal of the MGH Thalamic Visual Prosthesis project is to build a machine-brain interface that can convey information from an external visual source directly to the visual parts of the brain for image processing. 
neio:0000151	bionic vision device	Utah Intracortical Electrode Array	Blackrock Microsystems LLC		electronic						100		10x10		cortical		https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		"Utah intracortical Electrode Array (UIEA) is a fixed geometry penetrating intracortical microelectrode array developed by a team at the University of Utah in the 1990s, aiming to provide a solid foundation for creating a cortically based visual prosthesis."
neio:0000152	bionic vision device	VISNE	Nerve Biomed S.L.		electronic						24		4x6		thalamic	external	https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		
