ID	Enity Type	Label	Commercial Partner	Contributor	Created
neio:0000126	device	IRIS II	Pixium Vision	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000127	device	Leuven Optic Nerve Visual Prosthesis		https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000128	device	Link N1	Neuralink	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000129	device	Newcastle Visual Prosthesis		https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000130	device	NR600	Nano Retina	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000131	device	OpticSELINE		https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000132	device	Optoelectronic Nanowire Retinal Prosthesis	Nanovision Biosciences	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000133	device	OPTOEPIRET	Epi-Ret GmBH	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000134	device	Orion Cortical Visual Prosthesis System	Cortigent, Inc.	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000135	device	OUReP	Minori Industry Co., Ltd.	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000136	device	Phoenix 99	Bionic Vision Technologies	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000137	device	POLYRETINA		https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000138	device	PolySTIM	Cortivision	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000139	device	PRIMA	Pixium Vision	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000140	device	QuantumRetina		https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000141	device	Science Eye	Science	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000142	device	Seoul Artificial Retina		https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000143	device	SiBionics Prosthesis	SiBionics	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000144	device	Stanford Artificial Retina Project		https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000145	device	STS Retinal Prosthesis	Nidek Co., Ltd.	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000146	device	Suprachoroidal Prosthesis (24-channel)	Bionic Vision Technologies	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000147	device	Suprachoroidal Prosthesis (44-channel)	Bionic Vision Technologies	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000148	device	Thalamic Visual Prosthesis	Bionic Eye Technologies	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000149	device	Utah Intracortical Electrode Array	Blackrock Microsystems LLC	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000150	device	VISNE	Nerve Biomed S.L.	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
